,word,theme
8935,partner,No theme
8938,party,No theme
8947,passenger,No theme
8955,past,No theme
9086,perfect,empowerement
9089,perform,No theme
9090,performance,No theme
9097,period,No theme
9114,person,No theme
9115,personal,No theme
9131,pet,No theme
9192,pic,No theme
9220,pilot,No theme
9228,pink,No theme
9264,plane,No theme
9280,player,No theme
9287,plea,No theme
9288,plead,violence
9325,point,No theme
9339,police,violence
9343,policy,No theme
9347,politic,No theme
9348,political,No theme
9350,politician,No theme
9354,poll,No theme
9383,poor,No theme
9414,pose,No theme
9426,poster,No theme
9449,power,empowerement
9451,powerful,empowerement
9469,pradesh,No theme
9475,praise,No theme
9505,prefer,No theme
9508,pregnancy,female stereotypes
9509,pregnant,No theme
9536,president,No theme
9544,pretty,female stereotypes
9557,priest,No theme
9562,prince,No theme
9563,princess,female stereotypes
9572,prison,violence
9578,private,No theme
9587,prize,No theme
9593,probe,No theme
9611,professional,No theme
9626,project,No theme
9632,promise,No theme
9635,promote,No theme
9650,property,No theme
9669,protect,No theme
9675,protest,empowerement
9680,proud,No theme
9682,prove,No theme
9706,publish,No theme
9729,pune,No theme
9733,punjab,No theme
9797,queen,empowerement
9802,question,No theme
9815,quit,No theme
9832,race,No theme
9873,rahul,No theme
9879,railway,No theme
9887,raise,No theme
9889,raj,No theme
9894,rajasthan,No theme
9923,rally,No theme
9925,ram,No theme
9950,ranaut,No theme
9952,ranbir,No theme
9967,rank,No theme
9977,rape,violence
9981,rapist,violence
9984,rare,No theme
10000,rate,No theme
10034,reach,No theme
10035,react,No theme
10036,reaction,No theme
10040,ready,No theme
10045,reality,No theme
10052,reason,No theme
10064,recall,No theme
10090,record,No theme
10177,reject,No theme
10186,relationship,female stereotypes
10194,release,No theme
10212,remark,No theme
10256,reply,No theme
10258,reporter,No theme
10273,rescue,No theme
10275,research,No theme
10279,reservation,No theme
10303,respect,No theme
10307,response,No theme
10336,reunite,No theme
10342,reveal,No theme
10386,rich,No theme
10412,ring,No theme
10424,rise,empowerement
10427,risk,violence
10452,rob,violence
10512,room,No theme
10555,royal,No theme
10582,rule,No theme
10588,rumour,No theme
10598,rural,No theme
10603,russian,No theme
10618,sabarimala,No theme
10621,sabha,No theme
10648,safe,No theme
10652,safety,No theme
10708,salman,No theme
10783,sara,No theme
10801,saree,No theme
10847,saudi,No theme
10851,save,No theme
10892,scheme,No theme
10899,school,No theme
10908,science,No theme
10910,scientist,empowerement
10923,score,No theme
10937,screen,No theme
10961,search,No theme
10963,seat,No theme
10970,secret,No theme
10978,security,violence
11002,selfie,No theme
11020,senior,No theme
11028,sentence,violence
11047,serve,No theme
11049,service,No theme
11068,sex,female stereotypes
11069,sexism,No theme
11070,sexist,No theme
11073,sexual,female stereotypes
11077,sexually,female stereotypes
11078,sexy,No theme
11094,shah,No theme
11122,shame,No theme
11143,shape,No theme
11156,sharma,No theme
11210,shetty,No theme
11214,shift,No theme
11241,shock,No theme
11244,shocking,No theme
11246,shoe,No theme
11250,shoot,violence
11254,shop,female stereotypes
11262,short,No theme
11303,shut,No theme
11344,sikh,No theme
11348,silence,No theme
11375,sindhu,No theme
11379,sing,No theme
11383,singer,No theme
11384,singh,No theme
11389,single,female stereotypes
11394,sinha,No theme
11407,sit,No theme
11418,size,No theme
11439,skin,No theme
11460,slam,violence
11462,slap,No theme
11499,small,No theme
11502,smart,empowerement
11508,smile,No theme
11565,society,No theme
11579,soldier,No theme
11585,solo,No theme
11596,son,No theme
11598,sonakshi,No theme
11604,song,No theme
11613,soon,No theme
11637,south,No theme
11646,space,No theme
11670,special,No theme
11681,speech,No theme
11720,sport,No theme
11755,sridevi,No theme
11773,stab,violence
11781,staff,No theme
11784,stage,No theme
11792,stalk,No theme
11793,stalker,No theme
11803,stand,No theme
11810,star,empowerement
11820,startup,No theme
11825,statement,No theme
11829,statue,No theme
11835,steal,violence
11854,stereotype,No theme
11862,stick,No theme
11883,stone,No theme
11889,store,No theme
11936,strike,No theme
11939,strip,No theme
11945,strong,empowerement
11951,struggle,No theme
11956,student,No theme
11958,study,No theme
11971,style,No theme
11994,success,empowerement
11995,successful,empowerement
12012,sue,No theme
12013,suffer,violence
12034,suicide,violence
12076,sunny,No theme
12105,support,female stereotypes
12110,supreme,No theme
12125,surgery,No theme
12144,survive,empowerement
12145,survivor,empowerement
12154,suspect,violence
12155,suspend,No theme
12184,swaraj,No theme
12214,swift,No theme
12241,syndrome,No theme
12279,talaq,No theme
12280,tale,No theme
12295,tamil,No theme
12340,target,No theme
12358,tattoo,No theme
12370,taylor,No theme
12378,teach,No theme
12379,teacher,No theme
12382,tear,No theme
12388,techie,No theme
12395,teen,No theme
12396,teenage,No theme
12398,teenager,No theme
12408,telangana,No theme
12415,temple,No theme
12426,tennis,No theme
12433,teresa,No theme
12436,term,No theme
12465,texas,No theme
12479,thane,No theme
12524,thrash,No theme
12526,threat,No theme
12527,threaten,violence
12559,tie,No theme
12564,tiger,No theme
12576,time,No theme
12600,title,No theme
12610,toddler,No theme
12617,toilet,No theme
12638,tongue,No theme
12648,top,No theme
12659,torture,No theme
12664,touch,No theme
12666,tough,No theme
12679,track,No theme
12691,traffic,No theme
12703,training,No theme
12710,trans,No theme
12714,transform,No theme
12718,transgender,No theme
12735,trap,No theme
12749,treat,No theme
12750,treatment,No theme
12752,tree,No theme
12757,trend,No theme
12763,trial,violence
12765,tribal,No theme
12780,trip,No theme
12782,triple,No theme
12793,troll,No theme
12815,true,No theme
12820,truth,No theme
12871,tweet,No theme
12875,twice,No theme
12877,twin,No theme
12878,twinkle,No theme
12883,twitter,No theme
12897,uber,No theme
12912,ugly,No theme
12967,undergo,No theme
12976,understand,female stereotypes
13034,university,No theme
13142,uttar,No theme
13292,victim,female stereotypes
13303,vidya,No theme
13308,view,No theme
13346,violence,violence
13391,vogue,No theme
13392,voice,empowerement
13402,vote,No theme
13433,wake,No theme
13438,walk,No theme
13441,wall,No theme
13452,war,violence
13461,warn,No theme
13499,wear,No theme
13507,wedding,female stereotypes
13519,weight,female stereotypes
13531,west,No theme
13551,white,No theme
13567,wife,female stereotypes
13591,win,empowerement
13601,wing,No theme
13605,winner,empowerement
13639,wonder,No theme
13647,work,empowerement
13649,worker,empowerement
13654,workplace,No theme
13666,worth,empowerement
13683,write,No theme
13684,writer,No theme
13686,wrong,No theme
