,year,country,word,frequency,count,freq_prop_headlines,word_len
119385,2016,India,birth,104.0,28024,0.003711104767342278,5
119386,2017,India,birth,106.0,34194,0.0030999590571445285,5
119387,2018,India,birth,127.0,38340,0.0033124673969744394,5
119388,2019,India,birth,151.0,41698,0.0036212767998465155,5
119389,2020,India,birth,0.0,674,0.0,5
119390,2021,India,birth,2.0,3188,0.0006273525721455458,5
119425,2005,India,birthday,0.0,172,0.0,8
119426,2006,India,birthday,1.0,204,0.004901960784313725,8
119427,2007,India,birthday,0.0,496,0.0,8
119428,2008,India,birthday,2.0,1368,0.0014619883040935672,8
119429,2009,India,birthday,5.0,2356,0.0021222410865874364,8
119430,2010,India,birthday,9.0,3168,0.002840909090909091,8
119431,2011,India,birthday,6.0,4876,0.0012305168170631665,8
119432,2012,India,birthday,14.0,7268,0.001926252063841497,8
119433,2013,India,birthday,14.0,9820,0.0014256619144602852,8
119434,2014,India,birthday,61.0,15004,0.004065582511330312,8
119435,2015,India,birthday,51.0,21064,0.0024211925560197493,8
119436,2016,India,birthday,102.0,28024,0.003639737367970311,8
119437,2017,India,birthday,122.0,34194,0.003567877405392759,8
119438,2018,India,birthday,141.0,38340,0.003677621283255086,8
119439,2019,India,birthday,217.0,41698,0.0052040865269317475,8
119440,2020,India,birthday,0.0,674,0.0,8
119441,2021,India,birthday,3.0,3188,0.0009410288582183187,8
121057,2005,India,black,0.0,258,0.0,5
121058,2006,India,black,0.0,306,0.0,5
121059,2007,India,black,2.0,744,0.002688172043010753,5
121060,2008,India,black,7.0,2052,0.00341130604288499,5
121061,2009,India,black,6.0,3534,0.001697792869269949,5
121062,2010,India,black,5.0,4752,0.0010521885521885522,5
121063,2011,India,black,14.0,7314,0.0019141372709871479,5
121064,2012,India,black,21.0,10902,0.001926252063841497,5
121065,2013,India,black,25.0,14730,0.0016972165648336728,5
121066,2014,India,black,37.0,22506,0.0016440060428330222,5
121067,2015,India,black,59.0,31596,0.0018673249778452968,5
121068,2016,India,black,82.0,42036,0.0019507089161670949,5
121069,2017,India,black,89.0,51291,0.0017351972080871887,5
121070,2018,India,black,178.0,57510,0.0030951138932359588,5
121071,2019,India,black,162.0,62547,0.0025900522806849248,5
121072,2020,India,black,0.0,1011,0.0,5
121073,2021,India,black,0.0,4782,0.0,5
127908,2005,India,body,1.0,172,0.005813953488372093,4
127909,2006,India,body,1.0,204,0.004901960784313725,4
127910,2007,India,body,6.0,496,0.012096774193548387,4
127911,2008,India,body,5.0,1368,0.003654970760233918,4
